Year,Month,Day,Hour,Temp,DewTemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6
1912,4,1,6,114,94,10121,200,120,8,-9999,-9999
1912,4,1,9,146,96,10122,240,140,8,-9999,-9999
1912,4,2,6,172,122,10146,210,40,2,-9999,40
1912,4,2,9,193,-9999,10150,240,210,1,-9999,0
1912,4,2,12,188,125,10152,240,250,1,-9999,0
1912,4,3,6,163,119,10170,240,40,4,-9999,0
1912,4,3,9,182,122,10186,240,60,2,-9999,0
1912,4,4,6,154,125,10173,0,0,0,-9999,0
1912,4,4,9,186,134,10180,360,20,0,-9999,0
1912,4,4,12,202,145,10169,40,60,0,-9999,0
1912,4,5,9,248,157,10149,60,40,2,-9999,0
1912,4,5,12,256,177,10137,60,40,4,-9999,0
1912,4,5,15,-9999,-9999,10137,-9999,-9999,4,-9999,0
1912,4,6,0,46,23,10217,0,0,0,-9999,0
1912,4,6,6,212,144,10120,40,20,1,-9999,0
1912,4,6,9,228,154,10144,240,190,7,-9999,-9999
1912,4,7,6,170,128,10173,0,0,8,-9999,0
1912,4,8,6,172,117,10188,220,140,1,-9999,0
1912,4,9,9,188,128,10192,240,80,2,-9999,-9999
1912,4,9,12,196,130,10182,240,40,3,-9999,0
1912,4,10,6,168,100,10178,270,40,0,-9999,0
1912,4,11,6,174,128,10205,40,40,2,-9999,0
1912,4,11,9,210,139,10213,360,40,4,-9999,-9999
1912,4,12,6,183,-108,10192,20,20,0,-9999,0
1912,4,12,9,204,150,10186,200,40,0,-9999,-9999
1912,4,13,6,188,120,10126,0,0,0,-9999,0
1912,4,13,9,220,161,10129,240,60,0,-9999,0
1912,4,14,6,198,151,10137,-9999,-9999,0,-9999,0
1912,4,14,9,222,184,10145,320,20,0,-9999,-9999
1912,4,15,6,198,132,10157,180,20,0,-9999,0
1912,4,15,9,222,137,10160,340,40,0,-9999,-9999
1912,4,16,6,200,134,10166,0,0,7,-9999,0
1912,4,16,9,216,138,10172,40,40,7,-9999,-9999
1912,4,17,6,188,132,10154,340,20,2,-9999,0
1912,4,18,6,196,130,10138,40,80,0,-9999,0
1912,4,18,9,210,154,10144,360,80,0,-9999,-9999
1912,4,19,6,218,140,10102,100,20,7,-9999,0
1912,4,19,9,240,170,10109,0,0,8,-9999,0
1912,4,20,3,106,50,10157,0,0,2,-9999,-9999
1912,4,20,6,246,173,10060,220,20,4,-9999,0
1912,4,21,6,260,152,10082,280,20,8,-9999,0
1912,4,23,6,200,-9999,-9999,-9999,-9999,-9999,-9999,0
1912,4,24,6,188,128,-9999,-9999,-9999,2,-9999,0
1912,4,25,6,196,141,10141,220,100,3,-9999,0
1912,4,25,12,206,149,10144,220,100,4,-9999,0
1912,4,26,6,192,140,10137,240,40,2,-9999,-9999
1912,4,26,9,192,140,10137,240,40,2,-9999,-9999
1912,4,27,6,186,138,10126,40,100,1,-9999,0
1912,4,27,12,212,163,10125,20,100,7,-9999,0
1912,4,28,12,225,185,10092,40,60,1,-9999,0
1912,4,29,6,222,156,10046,80,60,8,-9999,0
1912,4,29,9,232,182,10070,200,40,6,-9999,0
1912,4,30,9,232,171,10124,240,210,1,-9999,-9999
1912,5,1,6,198,148,10143,240,190,1,-9999,0
1912,5,2,3,96,-9999,10077,0,0,4,-9999,-9999
1912,5,2,9,208,144,10132,240,160,6,-9999,0
1912,5,3,6,184,150,10088,60,40,7,-9999,-9999
1912,5,4,6,200,142,10097,240,100,4,-9999,-9999
1912,5,4,9,200,142,10097,-9999,-9999,4,-9999,-9999
1912,5,4,12,206,142,10105,240,140,7,-9999,0
1912,5,4,15,208,151,10112,240,140,3,-9999,0
1912,5,5,6,202,148,10126,240,180,3,-9999,0
1912,5,5,9,206,149,10141,240,180,7,-9999,0
1912,5,5,12,213,140,-9999,240,250,3,-9999,0
1912,5,6,9,208,159,10168,240,160,2,-9999,-9999
1912,5,6,18,158,70,10117,0,0,4,-9999,-9999
1912,5,7,6,196,141,10156,60,60,1,-9999,0
1912,5,7,9,196,-9999,-9999,60,60,1,-9999,0
1912,5,7,15,198,139,10128,360,40,0,-9999,0
1912,5,8,6,192,113,10134,180,20,8,-9999,-9999
1912,5,8,9,310,98,10078,220,190,3,-9999,0
1912,5,8,15,208,169,10120,240,170,3,-9999,-9999
1912,5,9,9,218,144,10158,240,140,1,-9999,-9999
1912,5,9,12,214,155,10158,260,140,3,-9999,0
1912,5,9,15,204,147,10160,240,120,6,-9999,-9999
1912,5,10,6,198,140,10170,20,60,1,-9999,0
1912,5,10,9,210,157,10168,320,40,1,-9999,0
1912,5,10,12,212,159,10165,280,60,1,-9999,0
1912,5,10,15,198,151,10150,40,60,4,-9999,-9999
1912,5,11,9,256,164,10088,240,20,5,-9999,0
1912,5,11,12,250,181,10074,40,60,7,-9999,0
1912,5,11,15,232,185,10085,340,60,8,-9999,0
1912,5,12,6,198,144,10110,240,160,3,-9999,0
1912,5,12,9,176,84,-9999,300,120,4,-9999,-9999
1912,5,12,12,222,141,10108,240,210,4,-9999,0
1912,5,13,9,216,157,10154,240,170,1,-9999,0
1912,5,14,6,202,152,10173,20,40,4,-9999,0
1912,5,14,9,214,69,10176,280,60,2,-9999,0
1912,5,14,12,214,165,10176,260,60,5,-9999,0
1912,5,15,6,198,165,-9999,60,80,0,-9999,0
1912,5,15,9,216,153,10180,40,100,0,-9999,0
1912,5,16,9,156,-9999,-9999,0,0,0,-9999,-9999
1912,5,16,12,234,184,10176,360,40,1,-9999,0
1912,5,17,9,238,160,10178,20,40,0,-9999,0
1912,5,17,12,258,154,10166,60,60,0,-9999,0
1912,5,18,6,240,168,10142,40,80,5,-9999,-9999
1912,5,18,12,266,-9999,10130,260,60,3,-9999,0
1912,5,18,15,248,200,10121,40,40,1,-9999,-9999
1912,5,19,6,234,194,10156,40,20,2,-9999,0
1912,5,20,6,232,192,10117,320,20,2,-9999,0
1912,5,20,9,250,214,10118,260,100,1,-9999,0
1912,5,23,6,232,214,10125,320,20,0,-9999,0
1912,5,23,9,242,209,10126,300,20,1,-9999,0
1912,5,24,12,260,216,10104,240,60,1,-9999,0
1912,5,25,6,248,175,10110,20,20,0,-9999,0
1912,5,26,12,282,214,10106,320,40,0,-9999,0
1912,5,26,15,296,196,10098,240,60,0,-9999,0
1912,5,27,9,272,215,10105,280,40,0,-9999,0
1912,5,28,6,252,204,10096,40,60,0,-9999,0
1912,5,28,9,264,208,10097,240,100,0,-9999,0
1912,5,28,12,266,225,10096,240,120,1,-9999,0
1912,5,28,15,258,222,-9999,260,60,0,-9999,-9999
1912,5,29,6,246,217,10094,300,60,1,-9999,0
1912,5,30,6,248,206,10105,40,20,0,-9999,0
1912,5,30,12,266,222,10106,240,80,1,-9999,0
1912,5,31,9,276,214,10096,260,160,0,-9999,0
1912,6,1,6,248,203,10069,360,20,2,-9999,0
1912,6,1,9,268,208,10069,240,210,1,-9999,0
1912,6,1,12,272,209,10064,240,160,1,-9999,0
1912,6,1,15,258,203,10056,240,120,1,-9999,-9999
1912,6,2,9,262,192,10073,260,120,1,-9999,0
1912,6,2,12,262,195,10078,260,100,3,-9999,0
1912,6,3,6,254,164,10094,240,-9999,1,-9999,0
1912,6,3,9,258,190,10102,240,190,2,-9999,-9999
1912,6,3,15,252,187,10108,220,100,1,-9999,-9999
1912,6,4,12,262,201,10116,240,80,0,-9999,0
1912,6,5,6,244,171,10109,340,40,0,-9999,0
1912,6,5,9,262,204,10108,260,100,0,-9999,-9999
1912,6,5,12,264,210,10102,260,80,0,-9999,0
1912,6,5,15,256,212,10096,260,60,0,-9999,-9999
1912,6,5,18,-9999,-9999,10096,270,-9999,-9999,-9999,-9999
1912,6,6,6,248,209,10102,280,40,0,-9999,0
1912,6,6,12,266,215,10101,280,60,0,-9999,0
1912,6,6,15,-9999,-9999,10097,280,60,0,-9999,-9999
1912,6,6,18,-9999,-9999,10097,280,80,0,-9999,-9999
1912,6,7,6,250,211,10105,320,60,1,-9999,0
1912,6,7,9,262,211,10109,340,60,0,-9999,-9999
1912,6,7,12,266,215,10110,280,60,0,-9999,0
1912,6,7,15,258,214,10105,360,40,0,-9999,-9999
1912,6,8,6,256,215,10112,260,40,2,-9999,0
1912,6,8,12,264,213,10122,240,80,2,-9999,0
1912,6,9,6,230,169,10141,240,120,7,-9999,0
1912,6,9,9,248,183,10140,260,160,1,-9999,-9999
1912,6,9,12,-9999,-9999,-9999,-9999,-9999,5,-9999,0
1912,6,9,15,246,176,10133,260,80,2,-9999,-9999
1912,6,10,6,238,167,10144,320,60,1,-9999,0
1912,6,10,9,250,179,10141,300,80,1,-9999,-9999
1912,6,10,15,238,189,10125,280,80,7,-9999,0
1912,6,11,9,254,189,10133,260,120,1,-9999,-9999
1912,6,11,12,260,199,10133,280,80,2,-9999,0
