Year,Month,Day,Hour,Temp,DewTemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6
1912,8,28,6,276,204,10069,240,51,3,-9999,0
1912,8,28,9,302,227,10073,260,98,1,-9999,-9999
1912,8,28,12,300,234,10064,240,87,2,-9999,0
1912,8,29,6,280,181,10086,220,41,1,-9999,0
1912,8,29,9,290,200,10090,240,82,1,-9999,-9999
1912,8,29,12,290,207,10086,240,72,3,-9999,0
1912,8,29,15,280,214,10084,240,51,6,-9999,-9999
1912,8,30,6,272,209,10096,280,10,2,-9999,0
1912,8,30,9,286,219,10094,280,31,1,-9999,-9999
1912,8,30,12,290,220,10088,280,31,1,-9999,0
1912,8,30,15,282,221,10085,280,21,1,-9999,-9999
1912,8,31,6,270,216,10092,60,31,0,-9999,0
1912,8,31,9,290,224,10093,240,41,0,-9999,-9999
1912,8,31,12,298,235,10085,240,51,1,-9999,0
1912,9,1,6,274,202,10070,240,31,0,-9999,0
1912,9,1,9,296,239,10076,240,87,2,-9999,-9999
1912,9,1,12,274,202,10070,240,31,0,-9999,0
1912,9,1,14,306,235,10070,240,72,1,-9999,0
1912,9,1,15,294,228,10065,240,51,1,-9999,-9999
1912,9,2,6,210,112,10115,0,0,0,-9999,0
1912,9,2,9,304,229,10065,240,87,1,-9999,-9999
1912,9,2,12,304,232,10064,240,98,1,-9999,0
1912,9,3,6,284,193,10070,260,41,0,-9999,0
1912,9,3,9,300,228,10074,260,118,1,-9999,-9999
1912,9,3,12,306,228,10070,260,129,0,-9999,0
1912,9,3,15,290,227,10068,260,129,0,-9999,-9999
1912,9,4,6,278,186,10097,240,21,1,-9999,0
1912,9,4,9,296,231,10102,240,82,1,-9999,-9999
1912,9,4,12,302,230,10101,240,72,3,-9999,0
1912,9,4,15,286,225,10098,240,51,4,-9999,-9999
1912,9,5,6,276,220,10112,240,41,2,-9999,0
1912,9,5,9,290,232,10114,280,51,1,-9999,-9999
1912,9,5,12,288,228,10109,-9999,-9999,4,-9999,0
1912,9,6,6,278,218,10090,20,10,0,-9999,0
1912,9,6,12,298,241,10094,240,51,0,-9999,0
1912,9,6,15,292,241,10085,260,51,0,-9999,-9999
1912,9,7,9,292,237,10090,220,72,0,-9999,-9999
1912,9,7,12,296,236,10085,240,72,1,-9999,0
1912,9,7,15,286,234,10084,240,51,1,-9999,-9999
1912,9,8,6,274,208,10104,60,21,0,-9999,0
1912,9,8,9,298,239,10108,360,51,0,-9999,-9999
1912,9,8,12,304,242,10108,360,41,1,-9999,0
1912,9,9,6,272,171,10129,260,10,0,-9999,0
1912,9,9,9,298,213,10129,180,31,0,-9999,-9999
1912,9,9,12,300,218,-9999,200,31,0,-9999,0
1912,9,9,15,296,220,10129,180,21,0,-9999,-9999
1912,9,10,6,276,210,10125,200,21,0,-9999,0
1912,9,10,9,294,228,10122,240,41,0,-9999,-9999
1912,9,10,12,300,228,10116,260,41,0,-9999,0
1912,9,10,15,-9999,-9999,10106,260,41,0,-9999,-9999
1912,9,11,6,264,223,10108,260,10,0,-9999,0
1912,9,11,12,292,229,10106,20,31,1,-9999,0
1912,9,11,19,296,220,10104,20,31,0,-9999,-9999
1912,9,12,6,282,168,10124,60,41,0,-9999,0
1912,9,12,9,300,211,10132,20,51,0,-9999,-9999
1912,9,12,12,300,231,10126,20,51,0,-9999,0
1912,9,12,15,290,223,10124,20,41,0,-9999,-9999
1912,9,13,6,276,123,10129,40,31,0,-9999,0
1912,9,13,12,300,256,10114,20,62,0,-9999,0
1912,9,14,6,286,158,10092,260,10,1,-9999,0
1912,9,14,9,306,256,10089,260,41,1,-9999,-9999
1912,9,14,12,306,265,10089,240,51,0,-9999,0
1912,9,14,15,304,254,10082,240,41,0,-9999,-9999
1912,9,15,6,278,235,10094,260,10,4,-9999,0
1912,9,15,9,300,243,10093,260,41,1,-9999,-9999
1912,9,15,12,300,253,10090,260,41,7,-9999,0
1912,9,16,6,278,228,10096,180,10,5,-9999,0
1912,9,16,9,296,236,10098,260,41,3,-9999,-9999
1912,9,16,15,292,244,10092,240,51,3,-9999,-9999
1912,9,17,9,290,245,10125,240,31,-9999,-9999,-9999
1912,9,17,12,298,244,10116,240,51,3,-9999,0
1912,9,17,15,284,245,10102,40,41,7,-9999,-9999
1912,9,18,6,280,249,10105,260,10,6,-9999,0
1912,9,18,9,292,-9999,-9999,280,31,7,-9999,-9999
1912,9,18,12,286,249,10104,260,41,8,-9999,0
1912,9,18,15,282,246,10102,260,51,8,-9999,-9999
1912,9,19,9,280,234,10106,40,10,7,-9999,0
1912,9,19,12,284,245,10093,320,41,8,-9999,0
1912,9,19,15,280,240,10089,240,21,8,-9999,-9999
1912,9,20,6,272,228,10100,260,21,1,-9999,0
1912,9,20,9,290,227,10106,260,41,1,-9999,-9999
1912,9,20,12,288,228,10106,280,31,6,-9999,0
1912,9,21,6,262,215,10133,360,10,6,-9999,0
1912,9,21,9,288,224,10134,300,21,0,-9999,-9999
1912,9,21,15,280,224,10136,300,21,2,-9999,-9999
1912,9,22,6,270,223,10156,60,51,1,-9999,0
1912,9,22,9,286,228,10162,40,41,2,-9999,-9999
1912,9,22,15,278,238,10148,360,21,5,-9999,-9999
1912,9,24,9,296,254,10141,260,21,7,-9999,-9999
1912,9,25,6,272,228,10152,220,10,5,-9999,0
1912,9,26,6,266,234,10148,240,10,4,-9999,0
1912,9,26,9,286,234,10153,60,31,5,-9999,-9999
1912,9,26,15,284,220,10137,260,10,5,-9999,-9999
1912,9,27,6,262,198,10145,240,51,6,-9999,0
1912,9,27,9,282,201,10142,40,41,5,-9999,-9999
1912,9,27,12,202,183,10132,240,31,7,-9999,150
1912,9,28,6,246,204,10144,260,10,7,-9999,-9999
1912,9,28,9,234,170,10156,240,51,7,-9999,-9999
1912,9,28,12,252,169,10148,220,41,7,-9999,0
1912,9,28,15,252,200,10148,320,10,5,-9999,-9999
1912,9,29,6,248,194,10161,220,21,1,-9999,0
1912,9,29,9,278,214,10166,260,31,1,-9999,-9999
1912,9,29,12,284,214,10157,260,21,1,-9999,0
1912,9,30,9,286,237,10158,260,51,5,-9999,-9999
1912,9,30,15,280,227,10142,240,21,5,-9999,-9999
1912,10,1,3,246,183,10140,100,21,0,-9999,0
1912,10,1,6,260,213,10152,220,21,0,-9999,0
1912,10,1,9,286,228,10152,220,51,7,-9999,-9999
1912,10,1,12,288,221,10144,240,51,1,-9999,0
1912,10,1,15,276,226,10141,240,31,1,-9999,-9999
1912,10,2,6,248,161,-9999,200,10,0,-9999,0
1912,10,2,15,276,223,10134,360,21,1,-9999,-9999
1912,10,3,6,260,175,10136,260,10,0,-9999,0
1912,10,3,9,286,192,10134,320,21,0,-9999,-9999
1912,10,3,12,300,122,-9999,20,21,0,-9999,0
1912,10,3,15,288,221,10118,60,41,0,-9999,-9999
1912,10,4,6,268,164,10112,0,0,0,-9999,0
1912,10,4,9,306,211,10112,20,21,1,-9999,-9999
1912,10,4,12,312,215,10100,40,21,1,-9999,0
1912,10,4,15,316,185,10101,220,21,6,-9999,-9999
1912,10,4,18,316,185,10101,220,21,6,-9999,-9999
1912,10,5,6,276,223,10129,100,21,0,-9999,0
1912,10,5,9,292,234,10129,260,21,1,-9999,-9999
1912,10,5,12,302,237,10121,340,21,2,-9999,0
1912,10,5,15,-9999,-9999,10116,-9999,-9999,2,-9999,-9999
1912,10,7,6,274,205,10137,40,298,2,-9999,0
1912,10,7,9,306,228,10134,20,41,5,-9999,-9999
1912,10,7,12,306,253,10128,40,21,6,-9999,0
1912,10,7,15,290,-9999,10126,40,41,7,-9999,-9999
1912,10,8,9,294,225,10141,60,41,0,-9999,-9999
1912,10,8,12,308,246,10126,240,31,1,-9999,0
1912,10,8,15,294,249,10128,340,21,2,-9999,-9999
1912,10,10,6,274,195,10150,40,41,7,-9999,0
1912,10,10,9,302,178,10148,60,31,7,-9999,-9999
1912,10,10,12,340,166,10141,240,31,5,-9999,0
1912,10,10,15,340,166,10141,-9999,-9999,9,-9999,0
1912,10,10,18,298,188,10137,240,10,6,-9999,-9999
1912,10,11,6,280,185,10178,0,0,0,-9999,0
1912,10,11,9,302,172,-9999,40,31,1,-9999,-9999
1912,10,11,12,314,201,10169,260,10,2,-9999,0
1912,10,11,15,300,205,10162,40,31,6,-9999,-9999
1912,10,12,6,282,278,10172,260,10,7,-9999,0
1912,10,12,9,318,148,10164,40,31,7,-9999,-9999
1912,10,12,12,314,201,10158,260,21,7,-9999,0
1912,10,12,15,290,189,10153,40,41,7,-9999,-9999
1912,10,13,6,232,178,10156,40,62,6,-9999,-9999
1912,10,13,12,308,204,10125,40,31,3,-9999,0
1912,10,13,15,284,213,10122,80,10,4,-9999,-9999
1912,10,14,6,268,174,10133,240,10,7,-9999,0
1912,10,14,9,294,183,10141,-9999,-9999,2,-9999,-9999
1912,10,14,12,286,225,10129,240,51,5,-9999,0
1912,10,14,15,268,205,10137,260,31,3,-9999,-9999
1912,10,15,6,258,183,10160,240,10,5,-9999,0
1912,10,15,9,278,213,10164,240,31,7,-9999,-9999
1912,10,15,12,258,183,10160,240,10,5,-9999,0
1912,10,15,15,262,192,10150,240,41,6,-9999,-9999
1912,10,17,9,244,174,10112,240,41,7,-9999,-9999
1912,10,17,12,246,154,10112,240,51,7,-9999,0
1912,10,18,6,216,163,10137,240,41,2,-9999,-9999
1912,10,18,12,246,173,10141,240,62,7,-9999,0
1912,10,19,6,220,178,10178,60,41,4,-9999,-9999
1912,10,19,9,248,168,10177,40,31,3,-9999,-9999
1912,10,19,12,254,165,10168,360,10,2,-9999,0
1912,10,19,15,240,166,10172,80,10,2,-9999,-9999
1912,10,20,6,222,167,10177,60,10,0,-9999,0
1912,10,20,9,252,162,10178,40,31,1,-9999,-9999
1912,10,20,12,276,165,10166,260,21,3,-9999,0
1912,10,21,6,234,170,10149,260,10,0,-9999,0
1912,10,21,12,278,200,10130,40,31,1,-9999,0
1912,10,22,6,222,158,10121,40,41,5,-9999,0
1912,10,22,9,278,186,10125,240,21,4,-9999,-9999
1912,10,22,12,288,224,10118,220,31,4,-9999,0
1912,10,22,15,264,207,10124,240,21,7,-9999,-9999
1912,10,24,9,268,201,10169,40,21,8,-9999,-9999
1912,10,24,12,276,204,10168,260,21,8,-9999,0
1912,10,25,6,248,192,10158,0,0,4,-9999,0
1912,10,25,9,280,198,10158,220,21,6,-9999,-9999
1912,10,25,12,272,222,10153,240,41,4,-9999,0
1912,10,26,6,236,169,10166,60,21,3,-9999,0
1912,10,26,12,262,208,10161,240,31,2,-9999,0
1912,10,26,15,248,196,10162,240,31,3,-9999,-9999
1912,10,27,6,234,226,10186,180,10,1,-9999,0
1912,10,27,9,256,191,10181,20,10,1,-9999,-9999
1912,10,27,12,258,190,10172,20,21,2,-9999,0
1912,10,27,15,242,179,10173,240,21,5,-9999,-9999
1912,10,28,6,222,184,10182,0,0,2,-9999,0
1912,10,28,9,252,190,10181,360,31,1,-9999,-9999
1912,10,28,12,254,196,10168,360,31,1,-9999,0
1912,10,29,6,220,189,10161,260,10,6,-9999,0
1912,10,29,9,250,181,10158,260,21,2,-9999,-9999
1912,10,29,12,258,194,10148,260,21,2,-9999,0
1912,10,29,15,240,-9999,10141,260,21,3,-9999,-9999
1912,10,30,6,224,193,10149,260,10,0,-9999,0
1912,10,30,9,256,181,10146,260,21,0,-9999,-9999
1912,10,31,6,206,157,10154,0,0,0,-9999,0
1912,10,31,9,264,160,10156,40,41,0,-9999,-9999
1912,10,31,12,264,187,10145,20,62,1,-9999,0
1912,10,31,15,254,186,10146,40,62,1,-9999,-9999
1912,11,1,6,216,149,10172,240,10,2,-9999,0
1912,11,1,9,274,166,10176,60,31,1,-9999,-9999
1912,11,1,12,286,184,10158,60,108,1,-9999,0
1912,11,1,15,274,174,10162,80,87,1,-9999,-9999
1912,11,2,6,226,133,10193,180,10,0,-9999,0
1912,11,2,9,276,153,10190,60,21,0,-9999,-9999
1912,11,2,15,260,140,10161,260,21,7,-9999,-9999
1912,11,3,6,222,137,10161,220,21,7,-9999,0
1912,11,3,9,236,150,10160,240,31,8,-9999,-9999
