Year,Month,Day,Hour,Temp,DewTemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6
1912,11,3,12,258,158,10120,40,108,7,-9999,0
1912,11,3,15,250,148,10122,220,21,4,-9999,-9999
1912,11,4,6,194,154,10137,220,31,8,-9999,-9999
1912,11,4,9,226,168,10142,240,21,7,-9999,-9999
1912,11,4,12,226,168,10133,280,41,5,-9999,0
1912,11,5,6,194,150,10145,220,10,0,-9999,0
1912,11,5,9,242,168,10137,60,41,1,-9999,-9999
1912,11,6,9,202,112,10080,20,21,7,-9999,-9999
1912,11,6,15,156,108,10054,260,87,8,-9999,-9999
1912,11,7,6,138,53,10113,260,98,5,-9999,-9999
1912,11,7,9,116,57,10138,220,87,7,-9999,-9999
1912,11,7,12,138,64,10150,220,51,7,-9999,1
1912,11,7,15,138,48,10160,220,72,7,-9999,-9999
1912,11,8,6,168,53,10218,260,62,6,-9999,0
1912,11,8,12,190,63,10217,200,82,7,-9999,0
1912,11,8,15,170,80,10530,260,41,5,-9999,-9999
1912,11,9,6,154,117,10248,180,10,1,-9999,0
1912,11,9,9,194,100,10242,40,21,2,-9999,-9999
1912,11,9,12,204,67,10230,40,31,2,-9999,0
1912,11,10,6,140,80,10226,0,0,-9999,-9999,0
1912,11,10,9,-9999,-9999,10226,60,31,4,-9999,-9999
1912,11,10,12,218,77,10209,60,31,1,-9999,0
1912,11,11,9,218,106,10213,80,21,3,-9999,-9999
1912,11,11,12,234,91,10197,100,21,3,-9999,0
1912,11,12,6,162,122,10192,0,0,0,-9999,0
1912,11,12,9,218,111,10186,40,10,0,-9999,-9999
1912,11,12,12,230,113,10170,0,0,0,-9999,0
1912,11,12,15,210,122,10170,80,10,0,-9999,-9999
1912,11,13,6,162,114,10148,0,0,0,-9999,0
1912,11,13,9,228,128,10130,80,31,0,-9999,-9999
1912,11,13,12,246,135,10114,80,31,1,-9999,0
1912,11,13,15,218,112,10110,260,10,1,-9999,-9999
1912,11,14,6,194,135,10110,260,41,4,-9999,-9999
1912,11,14,9,196,141,10120,260,62,5,-9999,-9999
1912,11,14,12,218,155,10114,260,62,4,-9999,0
1912,11,15,6,170,142,10108,80,21,8,-9999,-9999
1912,11,16,6,154,122,10092,100,10,6,-9999,-9999
1912,11,16,12,192,108,10097,80,10,6,-9999,0
1912,11,16,15,146,135,10109,240,10,8,-9999,-9999
1912,11,17,6,162,121,10132,80,21,6,-9999,-9999
1912,11,17,9,210,134,10133,80,41,6,-9999,-9999
1912,11,17,12,212,124,10134,260,41,2,-9999,0
1912,11,17,15,192,133,10133,260,51,1,-9999,-9999
1912,11,18,6,160,146,10158,0,0,8,-9999,-9999
1912,11,18,12,222,133,10135,40,21,5,-9999,0
1912,11,18,15,206,126,10144,0,0,7,-9999,-9999
1912,11,19,6,178,104,10129,0,0,-9999,-9999,0
1912,11,19,9,232,98,10129,220,21,6,-9999,-9999
1912,11,19,12,222,133,10113,260,10,5,-9999,0
1912,11,20,6,92,-15,10186,240,41,1,-9999,-9999
1912,11,21,6,164,136,10109,60,31,7,-9999,-9999
1912,11,21,9,202,132,10104,60,31,4,-9999,-9999
1912,11,21,12,204,115,10101,260,21,7,-9999,0
1912,11,21,15,178,117,10108,220,21,7,-9999,-9999
1912,11,22,6,142,87,10129,0,0,4,-9999,0
1912,11,22,9,200,118,10132,260,21,1,-9999,-9999
1912,11,22,12,200,82,10122,260,31,4,-9999,0
1912,11,22,15,170,94,10113,160,10,2,-9999,-9999
1912,11,23,6,148,111,-9999,80,10,8,-9999,-9999
1912,11,23,9,150,129,10102,80,31,8,-9999,-9999
1912,11,23,12,134,130,10101,80,31,8,-9999,-9999
1912,11,24,6,130,64,10142,80,10,7,-9999,-9999
1912,11,24,12,150,79,10134,0,0,7,-9999,0
1912,11,24,15,138,91,10137,80,31,7,-9999,-9999
1912,11,25,6,128,84,10185,240,10,7,-9999,0
1912,11,25,9,170,98,10180,240,10,7,-9999,-9999
1912,11,25,12,148,98,10169,260,21,7,-9999,-9999
1912,11,25,15,150,109,10169,260,41,7,-9999,-9999
1912,11,26,6,158,118,10142,260,41,6,-9999,-9999
1912,11,26,9,190,102,10137,260,82,5,-9999,-9999
1912,11,26,12,194,115,10124,260,93,5,-9999,0
1912,11,27,6,150,129,10098,240,41,7,-9999,-9999
1912,11,27,9,184,98,10094,240,72,7,-9999,-9999
1912,11,27,12,176,114,10088,240,82,7,-9999,50
1912,11,27,15,174,99,10093,240,62,7,-9999,-9999
1912,11,28,6,122,107,10161,240,21,8,-9999,-9999
1912,11,28,9,126,115,10170,240,10,7,-9999,-9999
1912,11,28,12,140,102,10164,240,10,7,-9999,130
1912,11,28,15,134,95,10172,240,10,6,-9999,-9999
1912,11,30,6,118,103,10137,220,31,8,-9999,-9999
1912,11,30,9,120,105,10153,220,41,8,-9999,-9999
1912,12,1,6,146,96,10170,240,72,6,-9999,-9999
